Locus	Gene	Start	Length	Product	Allele Count	Alleles	
	STMMW_01201		133827	87	leu operon leader peptide	41	STMMW_01201.fasta	
	STMMW_01211		134570	945	probable activator protein in leuABCD operon	322	STMMW_01211.fasta	
	STMMW_01221		135899	1662	acetolactate synthase isozyme III large subunit	582	STMMW_01221.fasta	
	STMMW_01231		137563	492	acetolactate synthase isozyme III small subunit	211	STMMW_01231.fasta	
	STMMW_01241		138338	1005	fructose repressor	373	STMMW_01241.fasta	
	STMMW_01251		139948	459	Protein mraZ	112	STMMW_01251.fasta	
	STMMW_01261		140408	942	S-adenosyl-methyltransferase	374	STMMW_01261.fasta	
	STMMW_01271		141346	366	cell division protein FtsL	150	STMMW_01271.fasta	
	STMMW_01291		143480	1488	Meso-diaminopimelate-adding enzyme	567	STMMW_01291.fasta	
	STMMW_01301		144964	1359	UDP-N-acetylmuramoylalanyl-D-glutamyl-2,6-diami nopimelate--D-alan alanyl ligase	499	STMMW_01301.fasta	
	STMMW_01311		146316	1083	UDP-MurNAc-pentapeptide phosphotransferase	413	STMMW_01311.fasta	
	STMMW_01321		147401	1317	D-glutamic acid adding enzyme	546	STMMW_01321.fasta	
	STMMW_01331		148804	1158	cell division protein FtsW	422	STMMW_01331.fasta	
	STMMW_01341		149958	1068	UDP-N-acetylglucosamine--N-acetylmuramyl-	492	STMMW_01341.fasta	
	STMMW_01351		151144	1476	UDP-N-acetylmuramate--L-alanine ligase	497	STMMW_01351.fasta	
	STMMW_01361		152612	921	D-alanine--D-alanine ligase	391	STMMW_01361.fasta	
	STMMW_01371		153534	831	cell division protein FtsQ	247	STMMW_01371.fasta	
	STMMW_01381		154361	1263	cell division protein FtsA	378	STMMW_01381.fasta	
	STMMW_01391		155684	1152	cell division protein FtsZ	460	STMMW_01391.fasta	
	STMMW_01401		156936	918	UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase	285	STMMW_01401.fasta	
	STMMW_01411		158201	429	conserved hypothetical protein	157	STMMW_01411.fasta	
	STMMW_01421		158691	2706	preprotein translocase SecA subunit	721	STMMW_01421.fasta	
	STMMW_01431		161548	396	7,8-dihydro-8-oxoguanine-triphosphatase	211	STMMW_01431.fasta	
	STMMW_01441		162265	192	conserved hypothetical protein	79	STMMW_01441.fasta	
	STMMW_01451		162466	744	conserved hypothetical protein	303	STMMW_01451.fasta	
	STMMW_01461		163209	621	dephospho-CoA kinase	227	STMMW_01461.fasta	
	STMMW_01471		164055	1044	GMP reductase	433	STMMW_01471.fasta	
	STMMW_01481		165129	1203	protein transport protein HofC	504	STMMW_01481.fasta	
	STMMW_01491		166321	1386	protein transport protein HofB	533	STMMW_01491.fasta	
	STMMW_01501		167716	438	prepilin peptidase dependent protein D precursor	223	STMMW_01501.fasta	
	STMMW_01511		168375	747	nicotinate-nucleotide pyrophosphorylase	340	STMMW_01511.fasta	
	STMMW_01521		169356	564	AmpD protein (anhydro-N-acetylmuramyl-tripeptide amidase)	205	STMMW_01521.fasta	
	STMMW_01531		169916	855	AmpE protein	404	STMMW_01531.fasta	
	STMMW_01541		170862	951	putatuve glycosysl hydrolase	450	STMMW_01541.fasta	
	STMMW_01551		171812	1407	putative symporter	528	STMMW_01551.fasta	
	STMMW_01571		175318	765	pyruvate dehydrogenase complex repressor	268	STMMW_01571.fasta	
	STMMW_01581		176242	2664	pyruvate dehydrogenase E1 component	680	STMMW_01581.fasta	
	STMMW_01591		178920	1890	dihydrolipoamide acetyltransferase component (E2) of pyruvate dehydrogenase	644	STMMW_01591.fasta	
	STMMW_01601		181009	1425	dihydrolipoamide dehydrogenase	489	STMMW_01601.fasta	
	STMMW_01611		182722	285	probable secreted protein	179	STMMW_01611.fasta	
	STMMW_01621		183044	792	probable secreted protein	368	STMMW_01621.fasta	
	STMMW_01641		185851	2598	aconitate hydratase 2 (citrate hydro-lyase 2)	825	STMMW_01641.fasta	
	STMMW_01661		189597	363	conserved hypothetical protein	139	STMMW_01661.fasta	
	STMMW_01711		194195	795		365	STMMW_01711.fasta	
	STMMW_01721		195010	861	Putrescine aminopropyltransferase	422	STMMW_01721.fasta	
	STMMW_01731		195977	348	putative exported protein	152	STMMW_01731.fasta	
	STMMW_01741		196526	1611	possible multicopper oxidase precursor	596	STMMW_01741.fasta	
	STMMW_01751		198214	2391	glucose dehydrogenase	788	STMMW_01751.fasta	
	STMMW_01761		200810	537	hypoxanthine phosphoribosyltransferase	301	STMMW_01761.fasta	
	STMMW_01771		201404	663	carbonic anhydrase	217	STMMW_01771.fasta	
	STMMW_01781		202175	927	hypothetical ABC transporter ATP-binding protein	505	STMMW_01781.fasta	
	STMMW_01791		203098	771	ABC transporter integral membrane protein	466	STMMW_01791.fasta	
	STMMW_01841		209286	441	putative PTS system IIA component	205	STMMW_01841.fasta	
	STMMW_01851		209788	1230	putative exported protein	543	STMMW_01851.fasta	
	STMMW_01861		211024	381	Aspartate alpha-decarboxylase	201	STMMW_01861.fasta	
	STMMW_01881		212479	792	3-methyl-2-oxobutanoate hydroxymethyltransferase	459	STMMW_01881.fasta	
	STMMW_01891		213391	480	2-amino-4-hydroxy-6- hydroxymethyldihydropteridinepyrophosphokinase	200	STMMW_01891.fasta	
	STMMW_01901		213867	1419	poly(A) polymerase	537	STMMW_01901.fasta	
	STMMW_01911		215426	942	glutamyl-tRNA synthetase-related protein	412	STMMW_01911.fasta	
	STMMW_01921		216391	456	dosage-dependent dnaK suppressor protein	131	STMMW_01921.fasta	
	STMMW_01931		217023	705	Sugar fermentation stimulation protein homolog	307	STMMW_01931.fasta	
	STMMW_01941		217744	531	2'-5' RNA ligase	301	STMMW_01941.fasta	
	STMMW_01951		218302	2475	ATP-dependent helicase HrpB	731	STMMW_01951.fasta	
	STMMW_01961		220917	2523	penicillin-binding protein 1B	694	STMMW_01961.fasta	
	STMMW_01971		223732	2190	ferrichrome-iron receptor	451	STMMW_01971.fasta	
	STMMW_01981		225970	798	ferrichrome transport ATP-binding protein FhuC	451	STMMW_01981.fasta	
	STMMW_01991		226767	891	ferrichrome-binding periplasmic protein precursor	448	STMMW_01991.fasta	
	STMMW_02081		237203	1281	GSA	587	STMMW_02081.fasta	
	STMMW_02091		238653	1422	H+/Cl-exchange transporter clcA	581	STMMW_02091.fasta	
	STMMW_02101		240111	390	conserved hypothetical protein	169	STMMW_02101.fasta	
	STMMW_02121		241261	801	Vitamin B12 transport protein btuF precursor	399	STMMW_02121.fasta	
	STMMW_02131		242054	699	MTA/SAH nucleosidase	369	STMMW_02131.fasta	
	STMMW_02141		242837	1518	dGTP triphosphohydrolase	555	STMMW_02141.fasta	
	STMMW_02151		244484	1428	heat shock protein HtrA	535	STMMW_02151.fasta	
	STMMW_02171		247310	387	conserved hypothetical protein	129	STMMW_02171.fasta	
	STMMW_02181		247943	1302	putative inner membrane protein	506	STMMW_02181.fasta	
	STMMW_02191		249281	825	2,3,4,5-tetrahydropyridine-2-carboxylate N-succinyltransferase	378	STMMW_02191.fasta	
	STMMW_02201		250135	2673	PII uridylyl-transferase	754	STMMW_02201.fasta	
	STMMW_02211		253044	795	methionine aminopeptidase	294	STMMW_02211.fasta	
	STMMW_02221		254289	726	30S ribosomal protein S2	151	STMMW_02221.fasta	
	STMMW_02231		255272	852	EF-Ts	279	STMMW_02231.fasta	
	STMMW_02241		256268	726	UK	182	STMMW_02241.fasta	
	STMMW_02251		257140	558	RRF	147	STMMW_02251.fasta	
	STMMW_02261		257838	1197	1-deoxy-D-xylulose 5-phosphate reductoisomerase	418	STMMW_02261.fasta	
	STMMW_02271		259347	759	undecaprenyl pyrophosphate synthetase	224	STMMW_02271.fasta	
	STMMW_02281		260118	858	phosphatidate cytidylyltransferase	276	STMMW_02281.fasta	
	STMMW_02291		260987	1353	putative membrane protein	401	STMMW_02291.fasta	
	STMMW_02301		262371	2415	outer membrane protein precursor	429	STMMW_02301.fasta	
	STMMW_02311		264908	486	outer membrane protein OmpH precursor	132	STMMW_02311.fasta	
	STMMW_02321		265397	1026	UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase	313	STMMW_02321.fasta	
	STMMW_02331		266528	456	(3R)-hydroxymyristol acyl carrier protein dehydrase	127	STMMW_02331.fasta	
	STMMW_02341		266987	789	UDP-N-acetylglucosamine acyltransferase	279	STMMW_02341.fasta	
	STMMW_02351		267775	1149	lipid-A-disaccharide synthase	531	STMMW_02351.fasta	
	STMMW_02361		268920	597	RNase HII	273	STMMW_02361.fasta	
	STMMW_02371		269540	3483	DNA polymerase III, alpha chain	736	STMMW_02371.fasta	
	STMMW_02381		273035	960	acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha	358	STMMW_02381.fasta	
	STMMW_02411		278210	390	conserved hypothetical protein	172	STMMW_02411.fasta	
	STMMW_02431		280038	261	ROF protein	102	STMMW_02431.fasta	
	STMMW_02441		280285	219	conserved hypothetical protein	53	STMMW_02441.fasta	
	STMMW_02451		280683	546	conserved hypothetical protein	300	STMMW_02451.fasta	
	STMMW_02461		281225	423	putative release factor	203	STMMW_02461.fasta	
	STMMW_02471		281679	702	copper homeostasis protein CutF precursor (lipoprotein nlpE)	330	STMMW_02471.fasta	
	STMMW_02481		282454	1719	prolyl-tRNA synthetase	558	STMMW_02481.fasta	
	STMMW_02491		284283	708	conserved hypothetical protein	313	STMMW_02491.fasta	
	STMMW_02501		284987	405	RcsF protein	160	STMMW_02501.fasta	
	STMMW_02511		285510	816	putative lipoprotein precursor	386	STMMW_02511.fasta	
	STMMW_02521		286364	654	putative ABC transporter permease protein	308	STMMW_02521.fasta	
	STMMW_02531		287010	1032	putative ABC transporter ATP-binding protein	418	STMMW_02531.fasta	
	STMMW_02532		288231	567		5	STMMW_02532.fasta	
	STMMW_02571		298227	780	Hypothetical UPF0294 protein <ORFName>	360	STMMW_02571.fasta	
	STMMW_02591		299910	1368	membrane-bound lytic murein transglycosylase D precursor	434	STMMW_02591.fasta	
	STMMW_02601		301349	756	probable hydroxyacylglutathione hydrolase	421	STMMW_02601.fasta	
	STMMW_02611		302139	723	conserved hypothetical protein	338	STMMW_02611.fasta	
	STMMW_02621		302858	468	RNase H	215	STMMW_02621.fasta	
	STMMW_02631		303389	732	DNA polymerase III epsilon subunit	317	STMMW_02631.fasta	
	STMMW_03171		349864	720	possible outer membrane adhesin	304	STMMW_03171.fasta	
	STMMW_03181		350914	408	probable secreted protein	164	STMMW_03181.fasta	
	STMMW_03191		351692	768	possible hydrolase	321	STMMW_03191.fasta	
	STMMW_03201		352568	2445	possible acyl-CoA dehydrogenase	775	STMMW_03201.fasta	
	STMMW_03211		355252	579	phosphoheptose isomerase	224	STMMW_03211.fasta	
	STMMW_03221		356043	768	conserved hypothetical protein	285	STMMW_03221.fasta	
	STMMW_03231		356781	741	putative exported protein	338	STMMW_03231.fasta	
	STMMW_03241		357771	1056	DNA polymerase IV	478	STMMW_03241.fasta	
	STMMW_03271		360944	1458	aminoacyl-histidine dipeptidase precursor	599	STMMW_03271.fasta	
	STMMW_03281		362650	459	xanthine-guanine phosphoribosyltransferase	172	STMMW_03281.fasta	
	STMMW_03291		363197	1245	conserved hypothetical protein	520	STMMW_03291.fasta	
	STMMW_03301		364499	402	curlin genes transcriptional activator	150	STMMW_03301.fasta	
	STMMW_03311		364951	1053	outer membrane pore protein E precursor	450	STMMW_03311.fasta	
	STMMW_03321		366286	1104	glutamate 5-kinase	440	STMMW_03321.fasta	
	STMMW_03331		367401	1251	gamma-glutamyl phosphate reductase	517	STMMW_03331.fasta	
	STMMW_04261		442393	1254	putative metabolite transport protein	503	STMMW_04261.fasta	
	STMMW_04271		443835	1959	type III restriction-modification system enzyme (StyLTI) modification methylase	595	STMMW_04271.fasta	
	STMMW_04281		445803	2973	type III restriction-modification system enzyme (StyLTI) (ec 3.1.21.5)	697	STMMW_04281.fasta	
	STMMW_04291		449052	102	hypothetical protein	55	STMMW_04291.fasta	
	STMMW_04301		449270	1404	probable terminal oxidase subunit I	546	STMMW_04301.fasta	
	STMMW_04351		455316	633	RhtC-like transporter	319	STMMW_04351.fasta	
	STMMW_04361		456180	276	probable secreted protein	109	STMMW_04361.fasta	
	STMMW_04371		456591	1626	propionate catabolism operon regulatory protein	578	STMMW_04371.fasta	
	STMMW_04381		458481	888	putative carboxyvinyl-carboxyphosphonate phosphorylmutase	415	STMMW_04381.fasta	
	STMMW_04391		459491	1170	methylcitrate synthase	520	STMMW_04391.fasta	
	STMMW_04401		460700	1452	PrpD protein	411	STMMW_04401.fasta	
	STMMW_04411		462192	1887	PrpE protein	769	STMMW_04411.fasta	
	STMMW_04421		464182	975	delta-aminolevulinic acid dehydratase	440	STMMW_04421.fasta	
	STMMW_04441		468691	624	conserved hypothetical protein	259	STMMW_04441.fasta	
	STMMW_04451		469359	1131	penicillin-binding protein AmpH	472	STMMW_04451.fasta	
	STMMW_04461		470965	1119	SbmA protein	619	STMMW_04461.fasta	
	STMMW_04471		472098	1095	putative lipoprotein	498	STMMW_04471.fasta	
	STMMW_04481		473230	309	putative membrane protein	119	STMMW_04481.fasta	
	STMMW_04491		473806	216	putative membrane protein	128	STMMW_04491.fasta	
	STMMW_04501		474047	1095	D-alanine:D-alanine ligase A	434	STMMW_04501.fasta	
	STMMW_04511		475219	714	hypothetical protein	396	STMMW_04511.fasta	
	STMMW_04521		476101	1212	possible efflux pump	468	STMMW_04521.fasta	
	STMMW_04531		477603	267	conserved hypothetical protein	86	STMMW_04531.fasta	
	STMMW_04541		478221	321	phosphate starvation-inducible protein PsiF	212	STMMW_04541.fasta	
	STMMW_04551		478633	1113	adrA protein	486	STMMW_04551.fasta	
	STMMW_04561		479760	810	pyrroline-5-carboxylate reductase	418	STMMW_04561.fasta	
	STMMW_04571		480709	456	conserved hypothetical protein	268	STMMW_04571.fasta	
	STMMW_04581		481349	546	shikimate kinase II	222	STMMW_04581.fasta	
	STMMW_04591		481921	192	conserved hypothetical protein	67	STMMW_04591.fasta	
	STMMW_04601		482363	678	AroM protein	285	STMMW_04601.fasta	
	STMMW_04611		483111	285	conserved hypothetical protein	169	STMMW_04611.fasta	
	STMMW_04621		483433	912	recombination associated protein	399	STMMW_04621.fasta	
	STMMW_04631		484470	909	hypothetical ROK-family protein	446	STMMW_04631.fasta	
	STMMW_04641		485400	1173	transmembrane efflux protein	494	STMMW_04641.fasta	
	STMMW_04651		486745	3141	exonuclease SbcC	882	STMMW_04651.fasta	
	STMMW_04661		489882	1203	exonuclease SbcD	503	STMMW_04661.fasta	
	STMMW_04671		491298	690	phosphate regulon transcriptional regulatory protein PhoB	302	STMMW_04671.fasta	
	STMMW_04681		492057	1296	phosphate regulon sensor protein PhoR	520	STMMW_04681.fasta	
	STMMW_04691		493761	1320	branched chain amino acid transport system II carrier protein	505	STMMW_04691.fasta	
	STMMW_04701		495155	1371	proline-specific permease ProY	519	STMMW_04701.fasta	
	STMMW_04711		496687	1818	maltodextrin glucosidase	642	STMMW_04711.fasta	
	STMMW_04721		498576	603	probable peroxidase	256	STMMW_04721.fasta	
	STMMW_04731		499388	582	conserved hypothetical protein	230	STMMW_04731.fasta	
	STMMW_04741		500063	1065	S-adenosylmethionine:tRNA ribosyltransferase-isomerase	441	STMMW_04741.fasta	
	STMMW_04751		501324	1128	queuine tRNA-ribosyltransferase	433	STMMW_04751.fasta	
	STMMW_04761		502474	333	putative membrane protein	73	STMMW_04761.fasta	
	STMMW_04771		502834	1848	protein-export membrane protein SecD	554	STMMW_04771.fasta	
	STMMW_04781		504692	972	protein-export membrane protein SecF	354	STMMW_04781.fasta	
	STMMW_04811		507064	348	conserved hypothetical protein	190	STMMW_04811.fasta	
	STMMW_04831		508040	864	nucleoside-specific channel-forming protein tsx precursor	283	STMMW_04831.fasta	
	STMMW_04841		509203	540	putative lipoprotein	274	STMMW_04841.fasta	
	STMMW_04851		509894	450	conserved hypothetical protein	129	STMMW_04851.fasta	
	STMMW_04861		510347	1104	riboflavin biosynthesis protein RibD	461	STMMW_04861.fasta	
	STMMW_04871		511539	471	6,7-dimethyl-8-ribityllumazine synthase (riboflavin synthase beta chain)	166	STMMW_04871.fasta	
	STMMW_04881		512030	420	N utilization substance protein B	114	STMMW_04881.fasta	
	STMMW_04901		513483	516	phosphatidylglycerophosphatase A	288	STMMW_04901.fasta	
	STMMW_04911		514102	975	putative oxidoreductase	533	STMMW_04911.fasta	
	STMMW_04921		515133	1863	1-deoxyxylulose-5-phosphate synthase	592	STMMW_04921.fasta	
	STMMW_04931		517019	900	geranyltranstransferase	334	STMMW_04931.fasta	
	STMMW_04941		517919	243	exodeoxyribonuclease small subunit	83	STMMW_04941.fasta	
	STMMW_04951		518371	1449	thiamine biosynthesis protein ThiI	535	STMMW_04951.fasta	
	STMMW_05031		526730	591	4-methyl-5(b-hydroxyethyl)-thiazole monophosphate biosynthesis (ThiJ) protein	376	STMMW_05031.fasta	
	STMMW_05041		527283	912	2-dehydropantoate 2-reductase	382	STMMW_05041.fasta	
	STMMW_05051		528302	510	conserved hypothetical protein	193	STMMW_05051.fasta	
	STMMW_05061		528858	1350	hpothetical major facilitator family transport protein	511	STMMW_05061.fasta	
	STMMW_05101		533857	891	cytochrome o ubiquinol oxidase C subunit	353	STMMW_05101.fasta	
	STMMW_05111		534759	330	cytochrome o ubiquinol oxidase C subunit	87	STMMW_05111.fasta	
	STMMW_05121		535088	516	cytochrome o ubiquinol oxidase subunit III	202	STMMW_05121.fasta	
	STMMW_05131		535692	1992	cytochrome O ubiquinol oxidase subunit I	586	STMMW_05131.fasta	
	STMMW_05141		537694	957	cytochrome o ubiquinol oxidase subunit II	207	STMMW_05141.fasta	
	STMMW_05151		539103	1476	AmpG protein	513	STMMW_05151.fasta	
	STMMW_05161		540622	633	putative lipoprotein	257	STMMW_05161.fasta	
	STMMW_05171		541504	318	BolA protein	88	STMMW_05171.fasta	
	STMMW_05181		542168	1299	trigger factor	454	STMMW_05181.fasta	
	STMMW_05191		543713	624	ATP-dependent Clp protease proteolytic subunit	162	STMMW_05191.fasta	
	STMMW_05201		544588	1272	ATP-dependent Clp protease ATP-binding subunit ClpX	453	STMMW_05201.fasta	
	STMMW_05211		546045	2355	Lon protease	641	STMMW_05211.fasta	
	STMMW_05221		548608	273	DNA-binding protein Hu-beta	90	STMMW_05221.fasta	
	STMMW_05231		549171	1872	peptidyl-prolyl cis-trans isomerase D	652	STMMW_05231.fasta	
	STMMW_05241		551192	375	putative exported protein	160	STMMW_05241.fasta	
	STMMW_05251		551670	399	conserved hypothetical protein	186	STMMW_05251.fasta	
	STMMW_05261		552174	696	conserved hypothetical protein	374	STMMW_05261.fasta	
	STMMW_05271		552934	1701	Putative solute-binding protein	580	STMMW_05271.fasta	
	STMMW_05281		554735	819	conserved hypothetical protein	362	STMMW_05281.fasta	
	STMMW_05291		555603	1056	putative lyase	458	STMMW_05291.fasta	
	STMMW_05301		556771	459	hypothetical transcriptional regulator	279	STMMW_05301.fasta	
	STMMW_05311		557270	1773	putative ABC transporter ATP-binding membrane protein	573	STMMW_05311.fasta	
	STMMW_05321		559035	1782	putative ABC transporter ATP-binding membrane protein	642	STMMW_05321.fasta	
	STMMW_05331		561029	339	nitrogen regulatory protein P-II	125	STMMW_05331.fasta	
	STMMW_05341		561399	1287	probable ammonium transporter	529	STMMW_05341.fasta	
	STMMW_05351		562785	861	acyl-CoA thioesterase II	409	STMMW_05351.fasta	
	STMMW_05361		563860	570	conserved hypothetical lipoprotein	247	STMMW_05361.fasta	
	STMMW_05371		564462	390	putative methylated-DNA methyltransferase	218	STMMW_05371.fasta	
	STMMW_05381		565082	1551	hypothetical 58.9 kDa protein in tesb-hha intergenic region. Contains probable N-terminal signal sequence	597	STMMW_05381.fasta	
	STMMW_05401		567123	141	putative 50S ribosomal protein L36 (second copy)	50	STMMW_05401.fasta	
	STMMW_05411		567319	471	putative membrane protein	148	STMMW_05411.fasta	
	STMMW_05421		567906	552	maltose O-acetyltransferase	243	STMMW_05421.fasta	
	STMMW_05431		568636	219	haemolysin expression modulating protein	90	STMMW_05431.fasta	
	STMMW_05441		568882	375	conserved hypothetical protein	155	STMMW_05441.fasta	
	STMMW_05451		569752	3150	acriflavin resistance protein B	829	STMMW_05451.fasta	
	STMMW_05461		572924	1194	acriflavin resistance protein A precursor	437	STMMW_05461.fasta	
	STMMW_05471		574259	654	potential acrAB operon repressor	256	STMMW_05471.fasta	
	STMMW_05481		575031	3363	integral membrane protein AefA	806	STMMW_05481.fasta	
	STMMW_05501		579440	168	conserved hypothetical protein	51	STMMW_05501.fasta	
	STMMW_05511		579621	516	primosomal replication protein n	268	STMMW_05511.fasta	
	STMMW_05521		580217	378	putative membrane protein	193	STMMW_05521.fasta	
	STMMW_05531		580747	552	adenine phosphoribosyltransferase	213	STMMW_05531.fasta	
	STMMW_05541		581412	1929	DNA polymerase III subunits gamma and tau	600	STMMW_05541.fasta	
	STMMW_05551		583362	354	conserved hypothetical protein	108	STMMW_05551.fasta	
	STMMW_05561		583715	606	recombination protein RecR	284	STMMW_05561.fasta	
